ID,total_workouts,train_count,val_count,test_count,train_pct,val_pct,test_pct
232,1,1,0,0,100.0%,0.0%,0.0%
233,1,1,0,0,100.0%,0.0%,0.0%
234,1,1,0,0,100.0%,0.0%,0.0%
236,1,1,0,0,100.0%,0.0%,0.0%
237,1,1,0,0,100.0%,0.0%,0.0%
238,1,1,0,0,100.0%,0.0%,0.0%
239,1,1,0,0,100.0%,0.0%,0.0%
240,1,1,0,0,100.0%,0.0%,0.0%
242,1,1,0,0,100.0%,0.0%,0.0%
243,1,1,0,0,100.0%,0.0%,0.0%
245,1,1,0,0,100.0%,0.0%,0.0%
246,1,1,0,0,100.0%,0.0%,0.0%
248,1,1,0,0,100.0%,0.0%,0.0%
250,1,1,0,0,100.0%,0.0%,0.0%
251,1,1,0,0,100.0%,0.0%,0.0%
252,1,1,0,0,100.0%,0.0%,0.0%
253,1,1,0,0,100.0%,0.0%,0.0%
254,1,1,0,0,100.0%,0.0%,0.0%
255,1,1,0,0,100.0%,0.0%,0.0%
256,1,1,0,0,100.0%,0.0%,0.0%
258,1,1,0,0,100.0%,0.0%,0.0%
259,1,1,0,0,100.0%,0.0%,0.0%
260,1,1,0,0,100.0%,0.0%,0.0%
262,1,1,0,0,100.0%,0.0%,0.0%
263,1,1,0,0,100.0%,0.0%,0.0%
264,1,1,0,0,100.0%,0.0%,0.0%
265,1,1,0,0,100.0%,0.0%,0.0%
266,1,1,0,0,100.0%,0.0%,0.0%
267,1,1,0,0,100.0%,0.0%,0.0%
270,1,1,0,0,100.0%,0.0%,0.0%
271,1,1,0,0,100.0%,0.0%,0.0%
272,1,1,0,0,100.0%,0.0%,0.0%
273,1,1,0,0,100.0%,0.0%,0.0%
274,1,1,0,0,100.0%,0.0%,0.0%
275,1,1,0,0,100.0%,0.0%,0.0%
276,1,1,0,0,100.0%,0.0%,0.0%
277,1,1,0,0,100.0%,0.0%,0.0%
281,1,1,0,0,100.0%,0.0%,0.0%
282,1,1,0,0,100.0%,0.0%,0.0%
283,1,1,0,0,100.0%,0.0%,0.0%
284,1,1,0,0,100.0%,0.0%,0.0%
285,1,1,0,0,100.0%,0.0%,0.0%
287,1,1,0,0,100.0%,0.0%,0.0%
288,1,1,0,0,100.0%,0.0%,0.0%
289,1,1,0,0,100.0%,0.0%,0.0%
290,1,1,0,0,100.0%,0.0%,0.0%
291,1,1,0,0,100.0%,0.0%,0.0%
292,1,1,0,0,100.0%,0.0%,0.0%
294,1,1,0,0,100.0%,0.0%,0.0%
295,1,1,0,0,100.0%,0.0%,0.0%
296,1,1,0,0,100.0%,0.0%,0.0%
297,1,1,0,0,100.0%,0.0%,0.0%
298,1,1,0,0,100.0%,0.0%,0.0%
299,1,1,0,0,100.0%,0.0%,0.0%
300,1,1,0,0,100.0%,0.0%,0.0%
301,1,1,0,0,100.0%,0.0%,0.0%
302,1,1,0,0,100.0%,0.0%,0.0%
303,1,1,0,0,100.0%,0.0%,0.0%
304,1,1,0,0,100.0%,0.0%,0.0%
305,1,1,0,0,100.0%,0.0%,0.0%
306,1,1,0,0,100.0%,0.0%,0.0%
309,1,1,0,0,100.0%,0.0%,0.0%
310,1,1,0,0,100.0%,0.0%,0.0%
311,1,1,0,0,100.0%,0.0%,0.0%
312,1,1,0,0,100.0%,0.0%,0.0%
314,1,1,0,0,100.0%,0.0%,0.0%
315,1,1,0,0,100.0%,0.0%,0.0%
316,1,1,0,0,100.0%,0.0%,0.0%
317,1,1,0,0,100.0%,0.0%,0.0%
318,1,1,0,0,100.0%,0.0%,0.0%
319,1,1,0,0,100.0%,0.0%,0.0%
320,1,1,0,0,100.0%,0.0%,0.0%
321,1,1,0,0,100.0%,0.0%,0.0%
323,1,1,0,0,100.0%,0.0%,0.0%
324,1,1,0,0,100.0%,0.0%,0.0%
325,1,1,0,0,100.0%,0.0%,0.0%
326,1,1,0,0,100.0%,0.0%,0.0%
327,1,1,0,0,100.0%,0.0%,0.0%
328,1,1,0,0,100.0%,0.0%,0.0%
329,1,1,0,0,100.0%,0.0%,0.0%
330,1,1,0,0,100.0%,0.0%,0.0%
335,1,1,0,0,100.0%,0.0%,0.0%
336,1,1,0,0,100.0%,0.0%,0.0%
337,1,1,0,0,100.0%,0.0%,0.0%
338,1,1,0,0,100.0%,0.0%,0.0%
339,1,1,0,0,100.0%,0.0%,0.0%
342,1,1,0,0,100.0%,0.0%,0.0%
344,1,1,0,0,100.0%,0.0%,0.0%
345,1,1,0,0,100.0%,0.0%,0.0%
348,1,1,0,0,100.0%,0.0%,0.0%
349,1,1,0,0,100.0%,0.0%,0.0%
350,1,1,0,0,100.0%,0.0%,0.0%
351,1,1,0,0,100.0%,0.0%,0.0%
352,1,1,0,0,100.0%,0.0%,0.0%
354,1,1,0,0,100.0%,0.0%,0.0%
355,1,1,0,0,100.0%,0.0%,0.0%
357,1,1,0,0,100.0%,0.0%,0.0%
358,1,1,0,0,100.0%,0.0%,0.0%
359,1,1,0,0,100.0%,0.0%,0.0%
360,1,1,0,0,100.0%,0.0%,0.0%
361,1,1,0,0,100.0%,0.0%,0.0%
362,1,1,0,0,100.0%,0.0%,0.0%
363,1,1,0,0,100.0%,0.0%,0.0%
366,1,1,0,0,100.0%,0.0%,0.0%
368,1,1,0,0,100.0%,0.0%,0.0%
369,1,1,0,0,100.0%,0.0%,0.0%
370,1,1,0,0,100.0%,0.0%,0.0%
372,1,1,0,0,100.0%,0.0%,0.0%
373,1,1,0,0,100.0%,0.0%,0.0%
375,1,1,0,0,100.0%,0.0%,0.0%
379,1,1,0,0,100.0%,0.0%,0.0%
381,1,1,0,0,100.0%,0.0%,0.0%
382,1,1,0,0,100.0%,0.0%,0.0%
386,1,1,0,0,100.0%,0.0%,0.0%
390,1,1,0,0,100.0%,0.0%,0.0%
391,1,1,0,0,100.0%,0.0%,0.0%
392,1,1,0,0,100.0%,0.0%,0.0%
402,1,1,0,0,100.0%,0.0%,0.0%
406,1,1,0,0,100.0%,0.0%,0.0%
409,1,1,0,0,100.0%,0.0%,0.0%
410,1,1,0,0,100.0%,0.0%,0.0%
